time_seconds,channel_1,channel_2,channel_3
0.001,277798,-150909,-428707
0.006,277952,-150463,-428415
0.011,277913,-150429,-428342
0.017,277716,-150894,-428610
0.021,277749,-150929,-428678
0.026,277918,-150486,-428404
0.031,277864,-150572,-428436
0.036,277802,-151181,-428983
0.041,278130,-151042,-429172
0.046,278747,-149755,-428502
0.051,279020,-148327,-427347
0.056,278800,-146885,-425685
0.061,278043,-144318,-422361
0.066,276992,-141263,-418255
0.071,275532,-140429,-415961
0.076,273956,-142879,-416835
0.081,272873,-145942,-418815
0.086,272409,-148509,-420918
0.092,273057,-150466,-423523
0.096,274523,-151387,-425910
0.101,275847,-151463,-427310
0.106,276851,-151017,-427868
0.111,277382,-150912,-428294
0.117,277515,-151324,-428839
0.121,277697,-151373,-429070
0.126,278010,-150896,-428906
0.131,278052,-150839,-428891
0.136,277948,-151241,-429189
0.141,278069,-151205,-429274
0.146,278315,-150673,-428988
0.151,278327,-150620,-428947
0.156,278155,-151103,-429258
0.161,278182,-151176,-429358
0.169,278358,-150761,-429119
0.169,278358,-150761,-429119
0.171,278335,-150725,-429060
0.176,278202,-151117,-429319
0.181,278310,-151082,-429392
0.186,278505,-150620,-429125
0.191,278483,-150601,-429084
0.196,278395,-151007,-429402
0.201,278531,-150926,-429457
0.206,278807,-150366,-429173
0.211,278836,-150268,-429104
0.216,278746,-150642,-429388
0.221,278889,-150599,-429488
0.226,279184,-150048,-429232
0.231,279266,-149920,-429186
0.236,279218,-150279,-429497
0.241,279386,-150223,-429609
0.246,279715,-149680,-429395
0.251,279838,-149542,-429380
0.256,279807,-149888,-429695
0.261,279975,-149791,-429766
0.266,280238,-149220,-429458
0.271,280344,-149041,-429385
0.276,280281,-149399,-429680
0.281,280374,-149347,-429721
0.286,280604,-148768,-429372
0.291,280597,-148617,-429214
0.296,280435,-148972,-429407
0.304,280459,-148956,-429415
0.304,280459,-148956,-429415
0.306,280594,-148433,-429027
0.314,280478,-148358,-428836
0.314,280478,-148358,-428836
0.319,280202,-148854,-429056
0.319,280202,-148854,-429056
0.323,280117,-148975,-429092
0.324,280117,-148975,-429092
0.326,280070,-148696,-428766
0.331,279766,-148867,-428633
0.336,279340,-149554,-428894
0.341,279149,-149857,-429006
0.346,279150,-149591,-428741
0.351,278980,-149660,-428640
0.356,278630,-150255,-428885
0.361,278474,-150503,-428977
0.366,278508,-150190,-428698
0.371,278369,-150244,-428613
0.376,278073,-150816,-428889
0.381,278060,-150936,-428996
0.386,278247,-150547,-428794
0.392,278200,-150550,-428750
